completion,prompt
C,"HUGE congrats to Nanea Reeves Mani Srinivasan Jason Asbahr, David Starfire, Justin Boreta and the TRIPP, Inc. team on their oversubscribed funding round and coverage in Forbes! It's been an inspiring, challenging and deeply meaningful honor to work with TRIPP in helping to pioneer the field of ""TechnoDelics,"" employing technology to provide additional modalities for inner wellness and healing. I'm a strong believer that when wielded intentionally and carefully, technology can support and possibly augment the crucial foundations of Set and Setting for Psychedelic Medicine."
S,"My heart never left Afghanistan. Hoping that the girls we helped to get into school and to stay in school will still have a chance for a brighter future. Feelings of anguish, despair and frustration overwhelm me 😔 #unicef #girlseducation #rightsofthechild #educationforall"
A,"The world needs leaders dedicated to achieving the #SDGs now more than ever.  futur/io Institute has just launched an-8 week online programme to foster radical #innovation with a core focus on #sustainability through the UN Sustainable Development Goals.  Real-world case studies from startups, corporates, NGOs and independent experts show you how to take innovative ideas for sustainable solutions through to successful execution.  I am proud to be part of the LISIE - the Leaders in Sustainable Innovation and Execution online course, alongside 40+ incredible speakers, experts & thought leaders from the UN, The Club of Rome, UN WFP, UNESCO and more.  I highly recommend it! Sign up here and use lisie_tia_10 for an extra 10% off: https://lddy.no/108fz #sustainabledevelopment #futureleaders #innovation #purposedriven #greatreset #onlineeducation A real pleasure working with Harald Neidhardt Mila K. Grote Marie Tröster Youssef Nassef, Dianne Dain, Michal Nachmany, Dr. iur. Abir Haddad (she/her), Marc Buckley 🌍, Pablo Rodriguez, PhD, Dr. Tatiana Kazakova, Dr. Mariana Bozesan, Ferry Heilemann, Nadine Michalske, Vaitea Cowan, Christoph Beuttler, Riel Miller, Sebastian Stricker, Bernhard Kowatsch, Cecilia MoSze Tham, Sophia Swire, Maks Giordano, Gesa Ziemer, Júlia López Ventura, Ocian Hamel-Smith, Jeff Risom, Roxy Rahel Guellmeister, Raphael Gielgen, Sandra Pina, Alan Moore, Ellen Patzschke, Tomas Diez, Frank Salzgeber, Martin Wezowski Replenish Earth"
C,"I'm proud we made the list ""50 Best Small Companies to Work For in Austin"" from Built In Austin. We've worked hard on a big transformation in the last year at Stoplight. Looking forward, the future couldn't be brighter. 🏆🤩💥 https://lnkd.in/gYb-h4kD #teamwork #remotework #companyculture #leadership"
A,"The global rollout of vaccines has been challenging due to limited supplies and growing hesitancy towards them. To increase vaccine uptake, researchers, policymakers, and organizations need to know where and how to combat barriers to vaccine acceptance. Thus, we explore results from the Covid-19 Trends and Impact Survey - which the University of Maryland conducted in partnership with Facebook Learn more about it: https://lnkd.in/duwFbM_5"
C,"It is with immense pride that I share this announcement. For over six years, I have watched my teammates pour their heart and soul into building BrightFarms, and this milestone is a dream come true for us. We have become a world-class indoor farming company that we are all so proud to be a part of. As part of the Cox family, we will strengthen the future of BrightFarms for generations to come. Along the way, we have been extraordinarily fortunate to have retail partners that believed in us and made us better. Some of those early partners took a risk on us before we had even earned it. We will put our partners' needs first as we scale an indoor farming company with Cox that can truly impact the health of our planet and Americans. BrightFarms, Cox Enterprises Paul Lightfoot, Steve Platt, Steve Campione, Joshua Norbury, Erik Lallum, Matt Lingard, Aimee Miralles, Kimberly Kaiser #leadersinlocal"
C,"It’s finally happening! I’m off to #Tokyo2020 #Paralympics. The hardest part is always saying gooodbye to my family for 2.5 weeks. My daughter started school today, so goodbyes were very emotional! #workingmums #workingmomlife"
C,"After several years of working in industry at Tripadvisor and Niantic, Inc., I am excited to announce that this Fall I will be starting a Master of Science in Data Science at Institute for Applied Computational Science (IACS) at Harvard University. I will focus on ethical/bias implications in ML, AI fairness, and interpretable machine learning. As a first-generation college graduate from a low-income refugee family raised in Las Vegas during the 2008 financial crisis, survival in America felt precarious, high-stakes, and at times impossible all at once. So much hung in the balance with every step I took. The support of family, friends, colleagues, professors, organizing community, and mentors whose collective belief in me outmeasured my own made each stride feel lighter and possible. Not in my or my ancestors’ wildest dreams would I imagine that steps along that winding path would lead me through Harvard University's ivory gates and beyond. In Vietnamese, there is a proverb that goes: ""Ăn quả nhớ kẻ trồng cây."" This directly translates to — ""When eating fruit, think of those who planted the tree."" A big-shout and thank you to my mentors who invested in my growth — from organizations such as QuestBridge, Data Science for Social Good Foundation, The Alan Turing Institute, Asian American Resource Workshop (AARW) to my current, past managers, and mentors Yuan He, Jennifer Li, Michael Strickman, Julie Hong, Casper Mardahl, Hari Prasad Thadakamalla, Angela Lyda, Andy Webb, Paul Mahony, Martin Wells. I feel extremely lucky to have grown so much under your leadership. Onwards! #harvard #datascience #firstgeneration"
C,"I am thrilled to be joining the team at NOCD, working to improve mental health care and access. NOCD provides ERP therapy and other specialized treatment through its online platform for OCD and related disorders. I couldn't be more excited to be part of this innovative company helping people get better and stay better. Thank you to Paul, Weiss, Rifkind, Wharton & Garrison LLP for all of the opportunities over the past several years, including helping me make this move!"
C,It has been a remarkable journey and I’m grateful to StepChange Partners and to the extraordinary philanthropists helping VolunteerMatch bring communities together by scaling the digital backbone for volunteering in the 21st century.🙏
A,"Your data is broken. You just aren't sure how. Let me help you eliminate data headaches 👇 The entire data field has exploded in complexity over the past few years. The rapidly changing shapes and sizes of data has presented challenges for ensuring data quality. Your data problems aren't isolated, either. They 'cascade' down through downstream processes, causing sometimes unknown problems. The solution? Observability. There are many great tools today to help! One of my favorite recent tools in this space is Whylogs. You can collect quick sketches of your data and make assertions on those sketches. Don't be ignorant of your broken data. Observe. Monitor. Alert. Have a data cascade war story? Let me know about it in the comments!"
A,"The Bullish Board curates the best job openings for creators and those engaged in the worlds of finance, media, and content creation — including positions for recent college grads and industry experts alike. Updated regularly, our job board highlights the most exciting opportunities throughout the creator economy landscape. Built on Pallet by Keaton Inglis 🤝"
C," 🚀Lightly is backed by Y Combinator 🚀 We're delighted to announce that Lightly has been backed by Y Combinator and is part of the S21 batch. YC is the most famous accelerator in the world with alumni including Stripe, Airbnb & Dropbox. Being part of the Summer 21 batch helps us in our goal to build the best data curation tool for machine learning. https://lnkd.in/dQ3YACnH"
C,"Two books, nine years apart 🥳 I'm sorry if this post sounds braggy. I'm just really happy. I still can't believe that one day, a US publisher would want to publish my English writing. I'm grateful for so many friends who helped make this happen. ""Designing Machine Learning Systems"" is scheduled for release in early 2022. The first 3 chapters are available https://lnkd.in/g4QxKGJW #mlsys #mlops #machinelearning #ai #datascience #writing"
S,"I’m #hiring! The Mastercard Data & Services + Cyber & Intelligence Talent Acquisition team is growing! If you're a senior recruiter in Toronto, Vancouver, or the Washington, DC area and are passionate about finding and closing top talent in management/strategy consulting, engineering, product, or sales, I'd love to hear from you! #recruiterjob #talentacquisitionjobs #talentsourcing #talentacquisitionspecialist #hrjobs #techrecruitment #techrecruiters #torontojobs #vancouverjobs #washingtonjobs #arlingtonva #engineeringrecruiter #talentacquisition #talentacquisitionmanager"
A,"Last week was one of my first back at Lyft after over 18 weeks on parental leave.  Yep, 18 weeks.  For a dad.  Being able to take such a meaningful amount of time to celebrate the arrival of our daughter Izzy left me immensely grateful.  I feel so fortunate to work at a place that recognizes the profound impact on parents when they can be fully present with a newborn, on a company when their employees come back feeling refreshed and grateful after tending to what really matters and on society when parents are able to truly bond with their new arrival. While I certainly have Logan, John and Kristin to thank for instilling this mindset and culture into Lyft, I’m equally appreciative of the support I’ve received at every level of the organization - from peers, direct reports, skip levels and casual office passersby.   This encouragement had a meaningful effect on me - to silence the societal stigma about men stepping away from work for their families and to help push back against my own tendencies. And thanks to all this support, I also came to realize that my leave was a part of something much bigger - that it wasn’t just important to everyone that I take time with my growing family - but also that I set the right tone so that others would feel comfortable doing so when their time came.   To do my small part to help normalize time with family. I’ve talked to enough friends, coworkers and family to know how incredibly lucky I am to have this kind of benefit.   My experience has made me a huge proponent for it, but also know that not every company is in a position to provide it or that everyone can actually take advantage. So my advocacy is mostly a grateful dad saying that it “meant a lot” and that being able to take real time away from fast-paced job and a team of nearly 30 is a rare gift that's had an unforgettable impact.   Finally, I wouldn't even be talking about this without my incredible team shouldering the burden during my leave, no questions asked.   Christopher, Lamont, Michael, Kevin - I’m eternally grateful!"
A,"One of my favorite people says this all the time, ”The happiest people in the room are the most flexible people in the room."" I have found myself repeating this out loud when I find myself in a stressful situation. I quickly change my perspective and my stress level drops. I appreciate how he shares a different perspective rather than lecturing people on not dealing well with ambiguity. This is leadership…finding a way to help people maneuver through rather than making them feel bad that they aren’t. Thank you Tres. #tresrocks #runninggreatstores"
C,"I'm pleased to announce that we're starting a team in France and are looking for a leader based in Paris to help us. France is one of the most progressive countries in the world when it comes to upskilling, reskilling, and professional education. The Head of France, Enterprise will help us establish our presence in this important market. Importantly, there is already a terrific foundation from which to build: - Our co-founder Chaitanya Kalipatnapu is based in France - Over 1,000 working professionals in France have graduated from our Small Private Online Courses - Thousands more graduates around the world come from some of France's largest organisations. More details on the role are below, and please write to me directly for a briefing document with more context."
C,What a monumental achievement for the Waycare team! We have so much more work to do to achieve our vision for safer roads but joining Rekor Systems will now allow us to double down on our commitment to achieving our goals. Being able to build a team I love and building solutions and products that make a real impact in the world is not something I take for granted as very few people have that luxury.
C,"Please welcome University of Oxford graduate, #Rhodes Scholar Machmud Makhmudov from the White House Covid-19 Response Team, the first Uzbek American I know who is deployed to The White House. Being adopted by the U.S. at the age of 3, he was among the few who made Moderna, Inc. vaccines shipped over to #Uzbekistan last month. What a great coincidence to have him at The Embassy of the Republic of Uzbekistan in the U.S. and Canada on his birthday. Wishing you the best of success wherever you are and whatever you do."
A,"It's been absolutely gut-wrenching to witness the scenes of chaos and desperation play out in Afghanistan over the past few days. From 2005-2012, Afghanistan was the primary focus of my career - as an Army infantry officer in a frontline unit deployed to one of the most violent regions of the country and subsequently as a civilian field researcher/consultant focused on economic development. Over the years, I've made deep friendships with Afghans of many different stripes - interpreters, security forces, local leaders, journalists, entrepreneurs, and their families. The people are incredible, their culture is beautiful, and their potential is unlimited. Moreover, their perseverance amidst decades of war, courage in the face of daily threats to their lives and livelihoods, and commitment to a better future is truly inspirational. Unfortunately, their leadership largely did not embody these qualities and ended up failing and betraying them. The US role was a very mixed bag. There's plenty of blame to go around. But I'll save my political analysis for another platform and another time. Because first and foremost, the complete bungling of our withdrawal is creating a human tragedy of the highest order. Infuriating in how avoidable it was, but still not too late to fix. In recent days, I and many other veterans are doing our best to help terrified Afghan friends urgently confronted with terrible choices - risking their lives to travel to Kabul Airport in the slim hopes of getting a ticket out of the country or hunkering down in their homes, anxiously awaiting the inevitable Taliban to knock on their door, and hoping for the best/preparing for the worst. Given the current state of affairs, the US must urgently fix our completely broken Special Immigrant Visa program, urgently increase the number of available slots, and urgently evacuate not just US personnel but additionally our highly vulnerable Afghan allies. The public is watching. The world is watching. History is watching."
S,"#New Tech Company Alert* #40 Tech Jobs Dublin* Thrive Global Having been inspired by the Founder, Arianna Huffington, from her keynote given at INBOUND several years back, I am so excited to share that her behaviour change technology company, Thrive Global, has opened an #engineering office in #Dublin that will create 40 highly skilled tech roles over the coming years.   #Read more here: https://lnkd.in/eXEVUh-t  #WhyIreland #Jobs #Talent #wellbeing Hugh O'Brien Julia Coto, CPA Alison Tercek Monica Harding Gemma Allen"
S,"VeeFriends is now hiring, tag someone who you think should apply! Head of Community & Content application: https://lnkd.in/dNwZxhWp Community Manager application: https://lnkd.in/dx5pNbFh Presentation Developer application: https://lnkd.in/dkbf_vK8"
C,"I am excited to announce that I have (re)joined WEBTOON as the Head of Strategy and Business Development. After serving as its general counsel for several years, I left the company at the beginning of this year to pursue my entrepreneurial passions, and I quickly realized how much I enjoy creating and building.   When I was presented with this new opportunity at WEBTOON, I knew this would be a great next chapter for me. WEBTOON is the global leader in digital publishing and self-publishing for digital comics (72+ million monthly active users) and home to hundreds of thousands of creators. With the recent announcement of Wattpad WEBTOON Studios and its $100M commitment for development and production financing, we’re just scratching the surface of what's to come!   I look forward to connecting (and reconnecting) with many of you to explore collaboration and partnership opportunities in the near future. #WEBTOON #digitalcomics #webcomics #comics #creatoreconomy #strategy #businessdevelopment"
S,"I am hiring a manager on my team. If you are or someone you know is passionate about healthcare delivery, enjoys data analysis and is interested in supporting clinical strategy and operations, please get in touch!"
S,"I am hiring Technical Leaders in Applied Machine Learning with expertise in Financial Risk Modeling. My team builds AI that powers Facebook Finance and Compliance. We work across state-of-the-art research in Machine Learning and Natural Language Understanding to build step level innovations in Enterprise Products. If you are passionate about building and leading a team of highly skilled Applied ML Scientists, working with large and complex datasets, applying state of the art AI, Machine Learning and Optimization techniques at scale and delivering step level impact for FB Enterprise, please feel free to reach out or directly apply at https://lnkd.in/gzzgbyUr Locations - SF Bay Area, NYC, Austin or Remote (US/Canada) #machinelearning #ai #datascience #deeplearning #ml #finance #creditrisk"
A,"The world’s longest internet cable is getting even longer! The 2Africa subsea cable system – which Facebook is helping to fund – will now connect the Seychelles, the Comoros Islands, Angola and southeast Nigeria, as well as the Canary Islands. 🌍 2Africa is set to improve connectivity for millions of people across Africa and the Middle East. Facebook is proud to be part of the project, and excited for these new branches which will extend cable landings to 26 countries. 2Africa is expected to go live in late 2023. Stay tuned for updates on this exciting project! https://lnkd.in/dZz65H_W"
C,Getting there!
A,"Kids have different needs than adults - especially when it comes to tech. 👨‍👩‍👧‍👧 📱The latest smart devices are not made with kids in mind, but because they’re trending, the average kid wants their own smartphone by the time they reach middle school (or sooner). ❓So, what is the solution? To provide kids with safe tech that keeps them protected and connected and teaches them how to use tech responsibly. ⌚️ 🙏 Thank you Business Insider for highlighting the mission of Gabb Wireless to provide safe tech for kids and support successful parenting in the digital world.  If you have kids and who are just about ready for their first phone (or if you have kids who spend way too much time on their smartphone) -- Check out this article linked in the comments below. 💥 Also -- Use the promo code ""GETGABB"" to receive a 30% discount when you order a Gabb Phone or Gabb Watch through their website. 👍 #FirstPhone #SafePhone #SafeTechForKids"
S,"I am hiring software engineers, data-scientists and every skills in between! Come boost and expand our best-in-class conversational AI system for retail and e-commerce. It never gets stale, it‘s never been done before, it‘s a great team! https://lnkd.in/ggcGgiJ7 https://lnkd.in/gnVtRriE https://lnkd.in/g6Nh7WM4 If the timing is not right for you, let your friends know ;-) #nlp #nlu #conversationalai #conversationalcommerce #distributedsystems #distributedcomputing #servicesorchestration #datapipelines #hiring"
A,"Kubeflow isn't the answer. Engineers love it, but data scientists don't want it. Maybe there's a better way 👇 The job data scientists do is ripe with its own set of complexity and challenges. Adding a layer of Kubernetes might help you scale people and compute resources, but it can be fairly costly to maintain. If you don't have: - 100s of people building models - Need for distributed processing - In house Kubernetes expertise Then it's probably not for you. I'm not anti-Kubeflow. I'm pro-understanding your needs. Do you think Kubeflow is the right choice for your company? Let me know why or why not in the comments!"
C,"My career transition is complete!! So grateful for 30 years in retail at May, Federated and LBrands. Learned so much, worked with amazing teams and individuals, achieved milestone business results along the way and hopefully helped some people in their careers. After a year of volunteering/testing the waters, I am following a passion with a new journey in Catholic Education based on what it has done for me and so many others. Blessed to have an opportunity at Saint Francis DeSales High School to further its mission to educate and empower students for life. #education #grateful #people #Stallionpride"
C,I am so privileged and honored to work with Kristin Slawinski and Sarah Arnio as we co-lead the Walmart Career Mom group and do things like THIS!! Donna Morris sharing the stage! Wait WHA?! She was so incredibly authentic and supportive of our mamas and caregivers….and also clear about what our leaders should be doing to make sure we can accomplish our goals of work life integration. Thank you ALL and also to the participants who took the time to invest in themselves this afternoon. That is called SELF CARE! What a perfect way to end the week. ❤️ #rockstarcareermom
S,Careers folks! Come join our amazing team!
A,"Are you new in machine learning ? [same as me :) ] You can starting at https://lnkd.in/gGxKPqnm by — Kevin Markham, thanks for the opportunity :) #scikitlearn #machinelearning #datascience #python #pythonfordatascience"
A,"Stay Curious ""Data Analytics for Business Professionals"" by John Johnson #dataanalytics, #businessintelligence #linkedinlearning"
S,"As many of you know I've been investigating whether the US sanctions policy on Syria achieved its objective. Initial 1000 words findings are on remittances & access to education. I could really use your help. If you’re in the media or have an audience or you have any ideas or connections that might be valuable to identify a publisher, I would be eternally grateful. Just tell me who you are, what you’re willing to offer, what it might be good for, and how to be in touch. Thank you! #news #media #journalism #education #remittances"
S,"“When there is a chance to add a new manager, I want to be sure I turned over all the rocks that I possibly can to find a diverse funnel of potential new managers”- Laura Hill, VP Alternative Investments, Advocate Aurora Health Join Advocate Aurora Health as part of the solution for gender diversity in asset management. Here's what you can do: 1. If you're an allocator, register for Global FundWomen week and commit to meeting with at least two talented female-led investment teams. Build your network so female investment talent is front of mind at your firm. 2. Spread the word, hold each other accountable for being part of the solution. Female fund managers are bringing the expertise and delivering on performance - can you show up for them? Every allocator should be at this free event. Will we see you there?   Register now: https://bit.ly/3x4vcSx Registration is open to allocators, who are invited to send multiple attendees representing all areas of investment. Global FundWomen Week - September 20-24, 2021 Sponsored by J.P. Morgan and hosted on iConnections. #100WF #GFWW2021 #FundWomen #Diversity #Free #CapIntro Ulrika Robertsson Allyson Johnson, CAIA Dagmar Baeuerle Drianne Benner, CFA Radiance Chapman, CFA Shuo Chen Hanna Edström, CFA Sarah Finley Denise Hu Anastassia Kobeleva, CFA Katie Lee Kaitlin Malin, CFA, CAIA Sophie Littler Marianne O Elizabeth (Libbi) Ross Soobin Yoo Niamh Taylor Poppy Walker Amanda Pullinger Ann Henry Sheri Hillenbrand Zekraus Alexandra McGuigan, CAIA Zara Jamil Carolina De Brigard McKenna Forrest"
A,An empowered generation of entrepreneurs in Pakistan will transform various sectors of the economy and impact millions of lives across the country. Well done Airlift Technologies -this will inspire many others to follow your path. Usman Gul Meher Farrukh Ahmed Ayub Thomas G. Tsao Jamaludin Bujang Munim Hussain Ghadah Alharbi Taraec Hussein Naiel Ikram Aatif Awan Harry Stebbings Josh Buckley Phin Barnes Fatima Gobi Ventures
A,"Hosting events is ridiculously stressful and yet I'm all smiles. How? Here's how! As an event host/mc/moderator I have to be 100% switched all the time. - I have to be super present with the audience and the speakers on stage. - I have to effectively work with sound, video, stage and studio teams. - I have to remember countless names and notes. - I have to be ready for the unexpected and handle it effortlessly. - I need to simultaneously talk, while watching monitors and listening to producers in my in-ear piece. It's a LOT to handle. But you'll rarely see ANY of it simply because I am dedicated to stress-busting and anxiety-relieving activities through the day. Here are some of my top tips! #iamdanram #virtualhost #virtualsummithost #virtualeventhost #emcees #presenter #webinars #eventhost #professionalemcee #startup #businesssucccesscoach #businessgrowthcoach #businessconsulting #publicspeaking #publicspeakingcoach #publicspeakingtraining #walk #freshair #keynotespeaker #gym #mentoring #selfdevelopment #thoughtleadership #personalgrowth #demand #optimistic #publicspeakingskills #copewithstress #destress #grow"
S,"Hi evaluation and research friends! Megan Robalewski is building out our assessment practices at Beytna, and we wanted to ask y'all what software/ platforms you find easiest to use when sorting and then visualizing data from surveys? Appreciate you!"
S,"Hi! I was wondering if anyone here is or knows an investigative journalist, etc. who looks at workplace harassment or open letters. Please reach out to me directly! My email is amykalean@gmail.com."
